"","participant","age","place","item","value","agreement","Sum","Svartid"
"112","21795248",">70","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 12 sekund"
"113","21795338","50-59","ØRSTA","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 22 sekund"
"114","21795360","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","2 minutt 9 sekund"
"115","21795372","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 5 sekund"
"116","21795381","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 11 sekund"
"117","21795417","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 2 sekund"
"118","21795513","30-39","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 18 sekund"
"119","21795535","50-59","volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 48 sekund"
"120","21795539","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 1 sekund"
"121","21795541","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 29 sekund"
"122","21795542",">70","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 36 sekund"
"123","21795552","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 41 sekund"
"124","21795561","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","47 sekund"
"125","21795563","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 20 sekund"
"126","21795566","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","2 minutt 2 sekund"
"127","21795572","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","2 minutt 14 sekund"
"128","21795590","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","50 sekund"
